数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店ADR,,元,周,2019-08-04T00:00:00Z,234.32,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-08-04T00:00:00Z,166.1094,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-08-11T00:00:00Z,74.46,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-08-11T00:00:00Z,242.17,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-08-11T00:00:00Z,180.3198,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-08-18T00:00:00Z,71.82,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-08-18T00:00:00Z,242.62,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-08-18T00:00:00Z,174.2497,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-08-25T00:00:00Z,71.29,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-08-25T00:00:00Z,234.74,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-08-25T00:00:00Z,167.3461,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-09-01T00:00:00Z,64.32,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-09-01T00:00:00Z,208.38,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-09-01T00:00:00Z,134.03,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-09-08T00:00:00Z,63.54,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-09-08T00:00:00Z,198.51,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-09-08T00:00:00Z,126.1333,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-09-15T00:00:00Z,58.28,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-09-15T00:00:00Z,201.71,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-09-15T00:00:00Z,117.5566,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-09-22T00:00:00Z,63.9,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-09-22T00:00:00Z,200.3,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-09-22T00:00:00Z,127.9917,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-09-29T00:00:00Z,58.73,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-09-29T00:00:00Z,197.55,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-09-29T00:00:00Z,116.0211,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-10-06T00:00:00Z,73.72,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-10-06T00:00:00Z,279.99,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-10-06T00:00:00Z,206.4086,,,,酒店之家(STR)
