period_id,year,week,start_date,end_date,region,room_band,hotel_count,room_count,chain_hotel_count,chain_room_count,source
2023W04,2023,4,2023-01-16,2023-01-22,全国,70-149间,54834,5304463,23678,2339868,酒店之家
2023W04,2023,4,2023-01-16,2023-01-22,全国,150间及以上,14200,3431876,5605,1393541,酒店之家
2023W05,2023,5,2023-01-23,2023-01-29,全国,全部,467727,17594593,48074,4573551,酒店之家
2023W05,2023,5,2023-01-23,2023-01-29,全国,15间以下,153008,1121400,1081,10003,酒店之家
2023W05,2023,5,2023-01-23,2023-01-29,全国,15-29间,129991,2653042,2355,52968,酒店之家
2023W05,2023,5,2023-01-23,2023-01-29,全国,30-69间,115576,5070022,15306,770432,酒店之家
2023W05,2023,5,2023-01-23,2023-01-29,全国,70-149间,54918,5312813,23704,2342381,酒店之家
2023W05,2023,5,2023-01-23,2023-01-29,全国,150间及以上,14234,3437316,5628,1397767,酒店之家
2023W06,2023,6,2023-01-30,2023-02-05,全国,全部,467721,17612387,48198,4584583,酒店之家
2023W06,2023,6,2023-01-30,2023-02-05,全国,15间以下,152786,1119872,1082,10014,酒店之家
2023W06,2023,6,2023-01-30,2023-02-05,全国,15-29间,130024,2653754,2361,53129,酒店之家
2023W06,2023,6,2023-01-30,2023-02-05,全国,30-69间,115632,5073748,15354,772922,酒店之家
2023W06,2023,6,2023-01-30,2023-02-05,全国,70-149间,55006,5320717,23758,2347589,酒店之家
2023W06,2023,6,2023-01-30,2023-02-05,全国,150间及以上,14273,3444296,5643,1400929,酒店之家
2023W07,2023,7,2023-02-06,2023-02-12,全国,全部,470447,17710347,48279,4586725,酒店之家
2023W07,2023,7,2023-02-06,2023-02-12,全国,15间以下,153142,1129780,1082,10000,酒店之家
2023W07,2023,7,2023-02-06,2023-02-12,全国,15-29间,131365,2680753,2369,53332,酒店之家
2023W07,2023,7,2023-02-06,2023-02-12,全国,30-69间,116435,5108112,15408,775819,酒店之家
2023W07,2023,7,2023-02-06,2023-02-12,全国,70-149间,55184,5338422,23787,2350283,酒店之家
2023W07,2023,7,2023-02-06,2023-02-12,全国,150间及以上,14321,3453280,5633,1397291,酒店之家
2023W08,2023,8,2023-02-13,2023-02-19,全国,全部,486490,17690343,48296,4591434,酒店之家
2023W08,2023,8,2023-02-13,2023-02-19,全国,15间以下,171196,1159636,1075,9938,酒店之家
2023W08,2023,8,2023-02-13,2023-02-19,全国,15-29间,130115,2655505,2353,53047,酒店之家
2023W08,2023,8,2023-02-13,2023-02-19,全国,30-69间,115698,5079227,15425,776569,酒店之家
2023W08,2023,8,2023-02-13,2023-02-19,全国,70-149间,55118,5332482,23790,2350706,酒店之家
2023W08,2023,8,2023-02-13,2023-02-19,全国,150间及以上,14363,3463493,5653,1401174,酒店之家
2023W09,2023,9,2023-02-20,2023-02-26,全国,全部,486928,17726917,48614,4613427,酒店之家
2023W09,2023,9,2023-02-20,2023-02-26,全国,15间以下,171022,1163010,1139,10495,酒店之家
2023W09,2023,9,2023-02-20,2023-02-26,全国,15-29间,130404,2661529,2395,53905,酒店之家
2023W09,2023,9,2023-02-20,2023-02-26,全国,30-69间,115870,5086521,15500,779916,酒店之家
2023W09,2023,9,2023-02-20,2023-02-26,全国,70-149间,55215,5342054,23891,2360246,酒店之家
2023W09,2023,9,2023-02-20,2023-02-26,全国,150间及以上,14417,3473803,5689,1408865,酒店之家
2023W10,2023,10,2023-02-27,2023-03-05,全国,全部,486799,17752083,49726,4670673,酒店之家
2023W10,2023,10,2023-02-27,2023-03-05,全国,15间以下,170751,1164025,1163,10717,酒店之家
2023W10,2023,10,2023-02-27,2023-03-05,全国,15-29间,130447,2662432,2593,58507,酒店之家
2023W10,2023,10,2023-02-27,2023-03-05,全国,30-69间,115873,5087680,16195,811422,酒店之家
2023W10,2023,10,2023-02-27,2023-03-05,全国,70-149间,55258,5348175,24062,2375657,酒店之家
2023W10,2023,10,2023-02-27,2023-03-05,全国,150间及以上,14470,3489771,5713,1414370,酒店之家
2023W11,2023,11,2023-03-06,2023-03-12,全国,全部,488548,17817383,48969,4645300,酒店之家
2023W11,2023,11,2023-03-06,2023-03-12,全国,15间以下,170910,1171405,1143,10542,酒店之家
2023W11,2023,11,2023-03-06,2023-03-12,全国,15-29间,131348,2680497,2438,54957,酒店之家
2023W11,2023,11,2023-03-06,2023-03-12,全国,30-69间,116355,5107674,15616,785481,酒店之家
2023W11,2023,11,2023-03-06,2023-03-12,全国,70-149间,55438,5364919,24042,2375469,酒店之家
2023W11,2023,11,2023-03-06,2023-03-12,全国,150间及以上,14497,3492888,5730,1418851,酒店之家
2023W12,2023,12,2023-03-13,2023-03-19,全国,全部,490075,17897028,48967,4648656,酒店之家
2023W12,2023,12,2023-03-13,2023-03-19,全国,15间以下,170861,1180028,1144,10535,酒店之家
2023W12,2023,12,2023-03-13,2023-03-19,全国,15-29间,132079,2695379,2444,55115,酒店之家
2023W12,2023,12,2023-03-13,2023-03-19,全国,30-69间,116958,5134443,15566,782907,酒店之家
2023W12,2023,12,2023-03-13,2023-03-19,全国,70-149间,55638,5383430,24066,2377727,酒店之家
2023W12,2023,12,2023-03-13,2023-03-19,全国,150间及以上,14539,3503748,5747,1422372,酒店之家
2023W13,2023,13,2023-03-20,2023-03-26,全国,全部,495938,17933124,48965,4646733,酒店之家
2023W13,2023,13,2023-03-20,2023-03-26,全国,15间以下,176060,1197145,1149,10598,酒店之家
2023W13,2023,13,2023-03-20,2023-03-26,全国,15-29间,132425,2702114,2454,55359,酒店之家
2023W13,2023,13,2023-03-20,2023-03-26,全国,30-69间,117228,5145004,15546,782172,酒店之家
2023W13,2023,13,2023-03-20,2023-03-26,全国,70-149间,55698,5388931,24074,2378738,酒店之家
2023W13,2023,13,2023-03-20,2023-03-26,全国,150间及以上,14527,3499930,5742,1419866,酒店之家
2023W14,2023,14,2023-03-27,2023-04-02,全国,全部,495409,17964426,49362,4690601,酒店之家
2023W14,2023,14,2023-03-27,2023-04-02,全国,15间以下,174806,1200260,1188,11003,酒店之家
2023W14,2023,14,2023-03-27,2023-04-02,全国,15-29间,132816,2710406,2489,56071,酒店之家
2023W14,2023,14,2023-03-27,2023-04-02,全国,30-69间,117470,5154779,15656,787673,酒店之家
2023W14,2023,14,2023-03-27,2023-04-02,全国,70-149间,55770,5395060,24193,2390892,酒店之家
