period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W32,2017,32,2017-07-31,2017-08-06,全国,全部,,,,,,257.82,,酒店之家
2017W32,2017,32,2017-07-31,2017-08-06,全国,经济型,,,,,,175.13,,酒店之家
2017W32,2017,32,2017-07-31,2017-08-06,全国,中档型,,,,,,273.79,,酒店之家
2017W32,2017,32,2017-07-31,2017-08-06,全国,高档型,,,,,,405.9,,酒店之家
2017W32,2017,32,2017-07-31,2017-08-06,全国,豪华型,,,,,,775.56,,酒店之家
2017W33,2017,33,2017-08-07,2017-08-13,全国,全部,,,,,,262.7,,酒店之家
2017W33,2017,33,2017-08-07,2017-08-13,全国,经济型,,,,,,178.63,,酒店之家
2017W33,2017,33,2017-08-07,2017-08-13,全国,中档型,,,,,,279.5,,酒店之家
2017W33,2017,33,2017-08-07,2017-08-13,全国,高档型,,,,,,411.37,,酒店之家
2017W33,2017,33,2017-08-07,2017-08-13,全国,豪华型,,,,,,787.96,,酒店之家
2017W34,2017,34,2017-08-14,2017-08-20,全国,全部,,,,,,263.53,,酒店之家
2017W34,2017,34,2017-08-14,2017-08-20,全国,经济型,,,,,,177.34,,酒店之家
2017W34,2017,34,2017-08-14,2017-08-20,全国,中档型,,,,,,279.68,,酒店之家
2017W34,2017,34,2017-08-14,2017-08-20,全国,高档型,,,,,,413.5,,酒店之家
2017W34,2017,34,2017-08-14,2017-08-20,全国,豪华型,,,,,,802.09,,酒店之家
2017W35,2017,35,2017-08-21,2017-08-27,全国,全部,,,,,,249.1,,酒店之家
2017W35,2017,35,2017-08-21,2017-08-27,全国,经济型,,,,,,165.83,,酒店之家
2017W35,2017,35,2017-08-21,2017-08-27,全国,中档型,,,,,,264.87,,酒店之家
2017W35,2017,35,2017-08-21,2017-08-27,全国,高档型,,,,,,403.39,,酒店之家
2017W35,2017,35,2017-08-21,2017-08-27,全国,豪华型,,,,,,783.58,,酒店之家
2017W36,2017,36,2017-08-28,2017-09-03,全国,全部,,,,,,226.4,,酒店之家
2017W36,2017,36,2017-08-28,2017-09-03,全国,经济型,,,,,,154.13,,酒店之家
2017W36,2017,36,2017-08-28,2017-09-03,全国,中档型,,,,,,243.88,,酒店之家
2017W36,2017,36,2017-08-28,2017-09-03,全国,高档型,,,,,,376.52,,酒店之家
2017W36,2017,36,2017-08-28,2017-09-03,全国,豪华型,,,,,,734.22,,酒店之家
2017W37,2017,37,2017-09-04,2017-09-10,全国,全部,,,,,,225.45,,酒店之家
2017W37,2017,37,2017-09-04,2017-09-10,全国,经济型,,,,,,152.18,,酒店之家
2017W37,2017,37,2017-09-04,2017-09-10,全国,中档型,,,,,,243.53,,酒店之家
2017W37,2017,37,2017-09-04,2017-09-10,全国,高档型,,,,,,376.72,,酒店之家
2017W37,2017,37,2017-09-04,2017-09-10,全国,豪华型,,,,,,733.96,,酒店之家
2017W38,2017,38,2017-09-11,2017-09-17,全国,全部,,,,,,228.01,,酒店之家
2017W38,2017,38,2017-09-11,2017-09-17,全国,经济型,,,,,,152.63,,酒店之家
2017W38,2017,38,2017-09-11,2017-09-17,全国,中档型,,,,,,245.61,,酒店之家
2017W38,2017,38,2017-09-11,2017-09-17,全国,高档型,,,,,,383.67,,酒店之家
2017W38,2017,38,2017-09-11,2017-09-17,全国,豪华型,,,,,,743.93,,酒店之家
2017W39,2017,39,2017-09-18,2017-09-24,全国,全部,,,,,,229.32,,酒店之家
2017W39,2017,39,2017-09-18,2017-09-24,全国,经济型,,,,,,151.08,,酒店之家
2017W39,2017,39,2017-09-18,2017-09-24,全国,中档型,,,,,,244.93,,酒店之家
2017W39,2017,39,2017-09-18,2017-09-24,全国,高档型,,,,,,384.68,,酒店之家
2017W39,2017,39,2017-09-18,2017-09-24,全国,豪华型,,,,,,742.51,,酒店之家
2017W40,2017,40,2017-09-25,2017-10-01,全国,全部,,,,,,249.3,,酒店之家
2017W40,2017,40,2017-09-25,2017-10-01,全国,经济型,,,,,,169.78,,酒店之家
2017W40,2017,40,2017-09-25,2017-10-01,全国,中档型,,,,,,267.14,,酒店之家
2017W40,2017,40,2017-09-25,2017-10-01,全国,高档型,,,,,,397.21,,酒店之家
